name,latitude,longitude
SABROSURA RESTAURANT 1200 CASTLE HILL AVENUE New York NY 10462,40.832069,-73.8507489
WILKEN'S FINE FOOD 7114 AVENUE U New York NY 11234,40.619909,-73.9068659
REGINA CATERERS 6409 11 AVENUE New York NY 11219,40.6310753,-73.9976946
C & C CATERING SERVICE 7715 18 AVENUE New York NY 11214,40.6042332,-74.0025999
SEUDA FOODS 705 KINGS HIGHWAY New York NY 11223,40.6064719,-73.965411
CARVEL ICE CREAM 203 CHURCH AVENUE New York NY 11218,40.6433361,-73.97818
THE COUNTRY CAFE 60 WALL STREET New York NY 10005,40.7062054,-74.0085357
NORDIC DELICACIES 6909 3 AVENUE New York NY 11209,40.6212119,-74.0329499
SAL'S DELI 129-08 20 AVENUE New York NY 11356,40.7901266,-73.8477874
NATHAN'S FAMOUS 1310 SURF AVENUE New York NY 11224,40.5749261,-73.9859414
GLORIOUS FOOD 522 EAST 74 STREET New York NY 10021,40.7700703,-73.9580246
CARVEL ICE CREAM 265-15 HILLSIDE AVENUE New York NY 11004,40.738689,-73.703234
AGRA RESTAURANT 807 LEXINGTON AVENUE New York NY 10065,40.7641697,-73.9664345
ARTURO'S 1617 YORK AVENUE New York NY 10028,40.775478,-73.947847
PARIS BLUES 2021 7 AVENUE New York NY 10027,40.8138912,-73.9624327
GENE'S RESTURANT 73 WEST 11 STREET New York NY 10011,40.7464969,-74.0094471
MARIA RISTORANTE 3073 EMMONS AVENUE New York NY 11235,40.5842084,-73.9367146
COZY SOUP & BURGER 739 BROADWAY New York NY 10003,40.730003,-73.993406
KOSHER ISLAND 2206 VICTORY BOULEVARD New York NY 10314,40.6119572,-74.1377286
DOWNTOWN DELI 107 CHURCH STREET New York NY 10007,40.7132925,-74.0092084
CAFE METRO 625 8 AVENUE New York NY 10018,40.755322,-73.9932872
BULLY'S DELI 759 BROADWAY New York NY 10003,40.7309346,-73.9925306
MEJLANDER & MULGANNON 7615 5 AVENUE New York NY 11209,40.6212119,-74.0329499
HO MEI RESTAURANT 103-05 37 AVENUE New York NY 11368,40.7506343,-73.8477874
HAPPY GARDEN 1236 238 SPOFFORD AVE New York NY 10474,40.8139951,-73.88947
TONY'S DELI 1069 WYCKOFF AVENUE New York NY 11385,40.694924,-73.902463
HARRIET'S KITCHEN 502 AMSTERDAM AVENUE New York NY 10024,40.786714,-73.976112
WHITE CASTLE 531 MYRTLE AVENUE New York NY 11205,40.6940001,-73.9634876
MORRIS PARK BAKE SHOP 1007 MORRIS PARK AVE New York NY 10462,40.848447,-73.856077
WENDY'S 469 FLATBUSH AVENUE New York NY 11225,40.662942,-73.961704
NERON'S PIZZA 21532 HILLSIDE AVENUE New York NY 11427,40.727081,-73.748749
MOMS LUNCHEONETTE 10102 103 AVENUE New York NY 11417,40.6736207,-73.8448469
HAAGEN-DAZS 1 PENN PLAZA New York NY 10119,40.7511286,-73.992471
FONTANA FAMOUS PIZZA & GYRO 20002 NORTHERN BOULEVARD New York NY 11361,40.757529,-73.782866
HOT BAGELS 7905 METROPOLITAN AVENUE New York NY 11379,40.7132577,-73.8735079
CARVEL ICE CREAM 1111 HYLAN BOULEVARD New York NY 10305,40.598818,-74.079667
DOMINO'S PIZZA 464 3 AVENUE New York NY 10016,40.74727,-73.9800645
SONNY'S HEROS 1031 EAST 92 STREET New York NY 11236,40.6387196,-73.8948295
WINTER CATERERS 584 RICHMOND ROAD New York NY 10304,40.61229,-74.08761
BAGELS N BUNS 2491 VICTORY BOULEVARD New York NY 10314,40.6103714,-74.1459332
OLIVE'S 120 PRINCE STREET New York NY 10012,40.7251256,-73.9998042
MARCO POLO RISTORANTE 345 COURT STREET New York NY 11231,40.6821943,-73.9957111
LORENZO & MARIA'S 1418 THIRD AVENUE New York NY 10028,40.7753401,-73.9568502
BERKELY 437 MADISON AVENUE New York NY 10022,40.757365,-73.975393
GOLDEN PAVILLION 976 RUTLAND ROAD New York NY 11212,40.661967,-73.926962
DUNKIN' DONUTS 56 COURT STREET New York NY 11201,40.692273,-73.991495
PJ BERNSTEIN DELI & RESTAURANT 1215 THIRD AVENUE New York NY 10021,40.7684788,-73.9612178
PJ CARNEY'S 906 7 AVENUE New York NY 10019,40.7686973,-73.9918181
WATER'S EDGE CLUB 401 44 DRIVE FOOT E.RIVER New York NY 11101,40.7443091,-73.9418603
DOMINO'S PIZZA 148 WEST 72 STREET New York NY 10023,40.7769059,-73.9800645
METROPOLITAN CLUB 1 EAST 60 STREET New York NY 10022,40.7593941,-73.9697795
PALM RESTAURANT 837 2 AVENUE New York NY 10017,40.7519846,-73.9697795
21 CLUB 21 WEST 52 STREET New York NY 10019,40.7686973,-73.9918181
HAPPY GARDEN 277 EAST KINGSBRIDGE ROAD New York NY 10458,40.8634684,-73.8941893
JP'S WATERSIDE RESTAURANT 703 MINNIEFORD AVE New York NY 10464,40.8575687,-73.7906439
KOSHER BAGEL HOLE 1423 AVENUE J New York NY 11230,40.6253712,-73.9615993
SEVILLE RESTAURANT 62 CHARLES STREET New York NY 10014,40.7348818,-74.0031319
GOTTSCHEER HALL 657 FAIRVIEW AVENUE New York NY 11385,40.7066823,-73.9057685
ISLE OF CAPRI RESTURANT 1028 3 AVENUE New York NY 10065,40.7645239,-73.9624327
POLISH NATIONAL HOME 261 DRIGGS AVENUE New York NY 11222,40.7224876,-73.9483919
NAPOLI PIZZA 16402 69 AVENUE New York NY 11365,40.7421943,-73.7889689
CAFE ATELIER (ART STUDENTS LEAGUE) 215 WEST 57 STREET New York NY 10019,40.7686973,-73.9918181
JUNIOR'S 386 FLATBUSH AVENUE EXTENSION New York NY 11201,40.6986772,-73.9859414
GREAT KILLS YACHT CLUB 37 MANSION AVE New York NY 10308,40.544288,-74.1401429
MARCHIS RESTAURANT 251 EAST 31 STREET New York NY 10016,40.74727,-73.9800645
PHILADELHIA GRILLE EXPRESS 10004 4 AVENUE New York NY 11209,40.6212119,-74.0329499
CRIMINAL COURT BLDG CAFETERIA 100 CENTRE STREET New York NY 10013,40.71599,-74.0010484
RIZZO'S FINE PIZZA 30-13 STEINWAY STREET New York NY 11103,40.763377,-73.9151096
FORLINIS RESTAURANT 93 BAXTER STREET New York NY 10013,40.7169224,-73.9995049
LA GRENOUILLE 3 EAST 52 STREET New York NY 10022,40.7593941,-73.9697795
WESTERN BAKERY 228-13 MERRICK BOULEVARD New York NY 11413,40.6767449,-73.7416329
JOHNS CAFE & RESTURANT 823 SECOND AVENUE New York NY 10017,40.751148,-73.971606
7B BAR 108 AVENUE B New York NY 10009,40.7250067,-73.98146
REYNOLD'S BAR 4241 BROADWAY New York NY 10033,40.8497077,-73.9365108
TASTE THE TROPICS ICE CREAM 1839 NOSTRAND AVENUE New York NY 11226,40.640839,-73.948194
1 EAST 66TH STREET KITCHEN 1 EAST 66 STREET New York NY 10065,40.7645239,-73.9624327
TOWNE CAFE 2602 EAST 15 STREET New York NY 11235,40.5860069,-73.9418603
OLD HOMESTEAD 56 9 AVENUE New York NY 10011,40.7464969,-74.0094471
DOUGLASTON CLUB 600 WEST DRIVE New York NY 11363,40.7766646,-73.7521838
MARY ANN'S 116 8 AVENUE New York NY 10011,40.7464969,-74.0094471
YANKEE TAVERN 72 EAST 161 STREET New York NY 10451,40.8187386,-73.9271644
DONUT PUB 203 WEST 14 STREET New York NY 10011,40.7464969,-74.0094471
MORAN'S CHELSEA 146 10 AVENUE New York NY 10011,40.7464969,-74.0094471
REBEN LUNCHEONETTE 229 HAVEMEYER STREET New York NY 11211,40.7090147,-73.9590059
TOUT VA BIEN 311 WEST 51 STREET New York NY 10019,40.7686973,-73.9918181
CRYSTAL ROOM 67 OLYMPIA BOULEVARD New York NY 10305,40.593237,-74.070834
JAHN'S RESTAURANT 8104 37 AVENUE New York NY 11372,40.7527924,-73.8801301
LA PARISIENNE DINER 910 SEVENTH AVENUE New York NY 10019,40.7660886,-73.9799932
JOE ALLEN RESTAURANT 326 WEST 46 STREET New York NY 10036,40.7602619,-73.9932872
JOYCE'S TAVERN 3823 RICHMOND AVENUE New York NY 10312,40.545084,-74.1653259
TONY'S PIZZA 1014 LONGWOOD AVENUE New York NY 10459,40.8166561,-73.8968356
FIORENTINO RISTORANTE 313 AVENUE U New York NY 11223,40.597154,-73.9725069
NOSTRAND DONUT SHOP 1449 NOSTRAND AVENUE New York NY 11226,40.650985,-73.949278
KEATS RESTAURANT 842 2 AVENUE New York NY 10017,40.7519846,-73.9697795
CORNER BISTRO 331 WEST 4 STREET New York NY 10014,40.7366138,-74.0094471
LAVELLE'S ADMIRAL'S CLUB 45-15 BROADWAY New York NY 11103,40.7569379,-73.914272
NEW YORK PIZZA SUPREMA 413 8 AVENUE New York NY 10001,40.7536854,-73.9991637
AUNTIE ANNE'S PRETZELS TRACK 18 0 34 STREET New York NY 10001,40.7536854,-73.9991637
KOSHER HUT OF BROOKLYN 709 KINGS HIGHWAY New York NY 11223,40.606495,-73.965344
CAESAR'S PALACE 493 AMSTERDAM AVENUE New York NY 10024,40.786074,-73.97579
MEE SUM COFFEE SHOP 26 PELL STREET New York NY 10013,40.715051,-73.9983
LENIHAN'S SALOON 119-09 ATLANTIC AVENUE New York NY 11418,40.694452,-73.827688
NEW CORNER 7201 8 AVENUE New York NY 11228,40.602758,-73.9639324
Princeton Club 15 WEST 43 STREET New York NY 10036,40.7602619,-73.9932872
ARTURO'S 106 WEST HOUSTON STREET New York NY 10012,40.7274874,-74.0003315
LABETTI'S POST # 2159 390 HYLAN BOULEVARD New York NY 10305,40.6096914,-74.0744432
